id,pollutant_id,Prediction_LDA,Prediction_Bayes
1763,NH3,NH3,SO2
1764,SO2,NH3,SO2
1765,PM2.5,PM2.5,PM2.5
1766,SO2,NH3,SO2
1767,CO,NO2,NO2
1768,NO2,CO,CO
1769,SO2,NH3,SO2
1770,OZONE,OZONE,OZONE
1771,PM2.5,PM2.5,PM2.5
1772,NO2,NO2,NO2
1773,NH3,NH3,SO2
1774,PM10,PM10,PM10
1775,PM2.5,PM2.5,PM2.5
1776,PM10,PM2.5,PM2.5
1777,NO2,CO,CO
1778,CO,PM10,PM10
1779,PM10,PM2.5,PM2.5
1780,OZONE,OZONE,OZONE
1781,NO2,OZONE,OZONE
1782,PM2.5,PM2.5,PM2.5
1783,OZONE,NO2,NO2
1784,PM2.5,PM2.5,PM2.5
1785,NO2,SO2,SO2
1786,NH3,NH3,SO2
1787,CO,CO,CO
1788,PM10,PM10,PM10
1789,NH3,NO2,NO2
1790,PM10,PM10,PM10
1791,NH3,NH3,SO2
1792,SO2,NH3,SO2
1793,CO,CO,CO
1794,OZONE,OZONE,OZONE
1795,PM10,PM10,PM10
1796,SO2,NH3,SO2
1797,PM2.5,PM2.5,PM2.5
1798,CO,OZONE,CO
1799,NO2,CO,NO2
1800,NH3,NH3,SO2
1801,PM2.5,PM2.5,PM2.5
1802,OZONE,PM2.5,PM2.5
1803,OZONE,OZONE,OZONE
1804,PM10,PM10,PM10
1805,CO,CO,CO
1806,CO,NO2,NO2
1807,OZONE,OZONE,OZONE
1808,OZONE,OZONE,OZONE
1809,PM2.5,PM10,PM10
1810,SO2,SO2,SO2
1811,PM2.5,PM2.5,PM2.5
1812,NO2,SO2,SO2
1813,SO2,SO2,SO2
1814,PM10,PM10,PM10
1815,PM2.5,PM2.5,PM2.5
1816,SO2,SO2,NO2
1817,OZONE,SO2,NO2
1818,PM10,SO2,SO2
1819,PM10,SO2,SO2
1820,PM10,PM10,PM10
1821,NH3,NH3,SO2
1822,CO,NH3,SO2
1823,NO2,NH3,SO2
1824,OZONE,NH3,SO2
1825,NO2,SO2,SO2
1826,PM10,CO,CO
1827,SO2,NH3,SO2
1828,CO,SO2,SO2
1829,PM2.5,PM10,PM10
1830,CO,SO2,SO2
1831,OZONE,NH3,SO2
1832,NO2,NH3,SO2
1833,SO2,NH3,SO2
1834,NH3,NH3,SO2
1835,SO2,NH3,SO2
1836,PM10,SO2,NO2
1837,NH3,SO2,SO2
1838,SO2,SO2,SO2
1839,OZONE,SO2,SO2
1840,PM2.5,SO2,SO2
1841,PM10,SO2,SO2
1842,NO2,SO2,SO2
1843,CO,SO2,SO2
1844,PM10,SO2,NO2
1845,CO,SO2,SO2
1846,NH3,SO2,SO2
1847,OZONE,SO2,SO2
1848,PM2.5,CO,CO
1849,PM2.5,SO2,NO2
1850,OZONE,OZONE,OZONE
1851,PM10,PM10,PM10
1852,SO2,NH3,SO2
1853,OZONE,NH3,SO2
1854,NO2,NH3,SO2
1855,SO2,NH3,SO2
1856,OZONE,NH3,SO2
1857,SO2,SO2,SO2
1858,OZONE,OZONE,OZONE
1859,PM10,PM10,PM10
1860,NO2,NH3,SO2
1861,NO2,SO2,SO2
1862,NH3,NH3,SO2
1863,NO2,NH3,SO2
1864,OZONE,NH3,SO2
1865,PM2.5,SO2,NO2
1866,NO2,SO2,SO2
1867,NH3,NH3,SO2
1868,SO2,NH3,SO2
1869,NH3,NH3,SO2
1870,NH3,NH3,SO2
1871,CO,OZONE,OZONE
1872,NH3,NH3,SO2
1873,PM2.5,PM10,PM10
1874,NH3,NH3,SO2
1875,PM2.5,PM10,PM10
1876,SO2,SO2,NO2
1877,OZONE,SO2,SO2
1878,NO2,CO,CO
1879,SO2,NH3,SO2
1880,PM10,PM10,PM10
1881,CO,CO,CO
1882,SO2,SO2,SO2
1883,CO,SO2,NO2
1884,NO2,PM10,PM10
1885,OZONE,NH3,SO2
1886,PM2.5,PM2.5,PM2.5
1887,PM10,PM10,PM10
1888,NH3,NH3,SO2
1889,CO,OZONE,OZONE
1890,NO2,NH3,SO2
1891,NH3,NH3,SO2
1892,NH3,NH3,SO2
1893,PM2.5,PM10,PM10
1894,CO,NO2,NO2
1895,NH3,NH3,SO2
1896,NO2,OZONE,OZONE
1897,NO2,NO2,NO2
1898,NH3,NH3,SO2
1899,NH3,SO2,SO2
1900,PM10,PM10,PM10
1901,PM2.5,PM10,PM10
1902,PM2.5,NH3,SO2
1903,NO2,SO2,SO2
1904,PM10,NH3,SO2
1905,NO2,NH3,SO2
1906,CO,OZONE,OZONE
1907,OZONE,SO2,SO2
1908,OZONE,OZONE,NO2
1909,NH3,SO2,SO2
1910,PM10,PM10,PM10
1911,PM10,PM2.5,PM2.5
1912,SO2,SO2,SO2
1913,CO,CO,NO2
1914,PM2.5,PM10,PM10
1915,NH3,NH3,SO2
1916,PM2.5,PM2.5,PM2.5
1917,CO,NO2,NO2
1918,PM10,PM2.5,PM2.5
1919,CO,CO,CO
1920,NO2,CO,CO
1921,NO2,SO2,SO2
1922,OZONE,SO2,SO2
1923,PM10,CO,PM2.5
1924,NH3,SO2,SO2
1925,CO,CO,CO
1926,PM2.5,CO,CO
1927,OZONE,SO2,SO2
1928,CO,SO2,NO2
1929,PM10,CO,CO
1930,NO2,SO2,NO2
1931,CO,CO,CO
1932,NO2,SO2,SO2
1933,PM2.5,PM2.5,PM2.5
1934,SO2,NH3,SO2
1935,OZONE,NH3,SO2
1936,SO2,NH3,SO2
1937,NH3,NH3,SO2
1938,NO2,SO2,NO2
1939,NH3,NH3,SO2
1940,CO,NO2,NO2
1941,NH3,NH3,SO2
1942,SO2,NH3,SO2
1943,OZONE,SO2,SO2
1944,OZONE,CO,NO2
1945,PM2.5,PM2.5,PM2.5
1946,OZONE,NO2,NO2
1947,CO,PM10,PM10
1948,PM10,PM10,PM10
1949,NH3,NH3,SO2
1950,CO,PM10,PM10
1951,PM2.5,PM2.5,PM2.5
1952,NH3,NH3,SO2
1953,SO2,SO2,SO2
1954,CO,CO,CO
1955,PM2.5,PM10,PM10
1956,NO2,NO2,NO2
1957,PM10,CO,CO
1958,NH3,NH3,SO2
1959,OZONE,OZONE,OZONE
1960,NH3,NH3,SO2
1961,OZONE,OZONE,OZONE
1962,PM10,PM10,PM10
1963,CO,NO2,NO2
1964,PM2.5,PM2.5,PM2.5
1965,NO2,NO2,NO2
1966,NH3,SO2,NO2
1967,CO,NO2,NO2
1968,PM2.5,PM10,PM10
1969,NH3,SO2,SO2
1970,NO2,NO2,NO2
1971,SO2,SO2,NO2
1972,PM10,SO2,SO2
1973,PM10,CO,CO
1974,NO2,OZONE,CO
1975,CO,CO,CO
1976,PM10,PM10,PM10
1977,SO2,NO2,NO2
1978,CO,NO2,NO2
1979,OZONE,NO2,NO2
1980,NH3,NO2,NO2
1981,CO,NO2,NO2
1982,PM2.5,PM2.5,PM2.5
1983,NH3,NO2,NO2
1984,PM10,PM10,PM10
1985,NO2,NO2,NO2
1986,NH3,NO2,NO2
1987,CO,NO2,NO2
1988,OZONE,NO2,NO2
1989,SO2,NO2,NO2
1990,PM10,PM10,PM10
1991,SO2,NO2,NO2
1992,OZONE,NO2,NO2
1993,SO2,NO2,NO2
1994,PM2.5,PM2.5,PM2.5
1995,CO,OZONE,OZONE
1996,CO,OZONE,OZONE
1997,PM2.5,PM10,PM10
1998,NO2,NH3,SO2
1999,PM10,PM10,PM10
2000,NO2,CO,CO
2001,NH3,NH3,SO2
2002,PM2.5,PM2.5,PM2.5
2003,PM10,PM2.5,PM2.5
2004,NO2,NH3,NO2
2005,SO2,CO,NO2
2006,CO,OZONE,CO
2007,PM10,PM2.5,PM2.5
2008,NO2,CO,CO
2009,CO,CO,CO
2010,PM10,PM10,PM10
2011,NO2,NO2,NO2
2012,CO,SO2,NO2
2013,PM10,PM10,PM10
2014,CO,OZONE,NO2
2015,SO2,SO2,SO2
2016,PM2.5,NH3,SO2
2017,SO2,NH3,SO2
2018,OZONE,NO2,NO2
2019,PM10,SO2,SO2
2020,NH3,SO2,SO2
2021,NO2,SO2,SO2
2022,SO2,SO2,SO2
2023,PM10,PM2.5,PM2.5
2024,OZONE,OZONE,OZONE
2025,PM2.5,NH3,SO2
2026,NH3,NH3,SO2
2027,PM2.5,PM2.5,PM2.5
2028,PM10,PM2.5,PM2.5
2029,NO2,NO2,NO2
2030,NH3,SO2,SO2
2031,PM2.5,PM10,PM10
2032,NO2,SO2,SO2
2033,PM10,SO2,SO2
2034,NO2,CO,CO
2035,PM2.5,PM2.5,PM2.5
2036,SO2,NO2,NO2
2037,PM2.5,PM10,PM10
2038,PM10,PM10,PM10
2039,NO2,NH3,SO2
2040,NH3,NH3,SO2
2041,PM10,PM2.5,PM2.5
2042,PM10,NH3,SO2
2043,PM2.5,PM2.5,PM2.5
2044,NO2,CO,CO
2045,SO2,OZONE,OZONE
2046,NO2,NH3,NO2
2047,NO2,NO2,NO2
2048,NH3,NH3,SO2
2049,PM10,NH3,SO2
2050,NH3,NH3,SO2
2051,SO2,NO2,NO2
2052,OZONE,OZONE,OZONE
2053,NO2,NO2,NO2
2054,OZONE,OZONE,OZONE
2055,OZONE,SO2,NO2
2056,NO2,SO2,SO2
2057,SO2,SO2,SO2
2058,PM2.5,PM2.5,PM2.5
2059,OZONE,SO2,SO2
2060,PM2.5,PM2.5,PM2.5
2061,NO2,SO2,NO2
2062,NH3,SO2,SO2
2063,CO,CO,CO
2064,NH3,SO2,SO2
2065,CO,CO,NO2
2066,SO2,NH3,SO2
2067,PM2.5,PM2.5,PM2.5
2068,NH3,NH3,NO2
2069,CO,CO,CO
2070,PM2.5,PM2.5,PM2.5
2071,SO2,NH3,SO2
2072,NO2,NO2,NO2
2073,CO,CO,CO
2074,PM2.5,PM2.5,PM2.5
2075,PM10,PM2.5,PM2.5
2076,NO2,NH3,NO2
2077,PM2.5,PM2.5,PM2.5
2078,PM10,PM2.5,PM2.5
2079,SO2,NH3,SO2
2080,OZONE,NH3,SO2
2081,PM10,PM2.5,PM2.5
2082,OZONE,OZONE,OZONE
2083,PM10,PM2.5,PM2.5
2084,PM2.5,PM2.5,PM2.5
2085,PM10,NH3,SO2
2086,NO2,NH3,SO2
2087,CO,CO,CO
2088,PM10,PM2.5,PM2.5
2089,SO2,NO2,NO2
2090,NO2,CO,CO
2091,SO2,NH3,SO2
2092,PM2.5,PM2.5,PM2.5
2093,PM2.5,PM2.5,PM2.5
2094,CO,CO,CO
2095,NO2,NH3,SO2
2096,CO,CO,CO
2097,SO2,NH3,SO2
2098,NO2,CO,CO
2099,PM2.5,PM2.5,PM2.5
2100,NO2,CO,CO
2101,NH3,NH3,SO2
2102,SO2,NH3,SO2
2103,NO2,OZONE,OZONE
2104,PM10,PM2.5,PM2.5
2105,PM10,PM2.5,PM2.5
2106,CO,OZONE,OZONE
2107,PM2.5,PM2.5,PM2.5
2108,SO2,NH3,SO2
2109,SO2,NH3,SO2
2110,CO,NO2,NO2
2111,OZONE,NH3,NO2
2112,PM10,PM2.5,PM2.5
2113,NO2,NO2,NO2
2114,SO2,NH3,SO2
2115,PM2.5,PM2.5,PM2.5
2116,NO2,NH3,SO2
2117,NH3,NH3,SO2
2118,SO2,NH3,SO2
2119,PM10,PM10,PM10
2120,NO2,NH3,SO2
2121,CO,OZONE,OZONE
2122,NH3,NH3,SO2
2123,PM2.5,PM10,PM10
2124,SO2,NH3,SO2
2125,CO,CO,CO
2126,CO,CO,CO
2127,NO2,NH3,SO2
2128,PM10,NH3,SO2
2129,CO,NO2,NO2
2130,PM10,CO,CO
2131,PM10,PM2.5,PM2.5
2132,PM10,PM2.5,PM2.5
2133,NO2,NH3,SO2
2134,PM10,PM10,PM10
2135,SO2,NO2,NO2
2136,PM10,PM10,PM10
2137,NO2,NH3,SO2
2138,OZONE,NH3,SO2
2139,NO2,CO,CO
2140,OZONE,OZONE,OZONE
2141,PM10,PM2.5,PM2.5
2142,NO2,SO2,NO2
2143,SO2,CO,NO2
2144,PM2.5,PM2.5,PM2.5
2145,NO2,SO2,NO2
2146,OZONE,OZONE,OZONE
2147,NO2,SO2,NO2
2148,SO2,OZONE,OZONE
2149,OZONE,OZONE,OZONE
2150,PM2.5,PM2.5,PM2.5
2151,PM10,PM2.5,PM2.5
2152,SO2,SO2,NO2
2153,NH3,NH3,SO2
2154,NO2,NH3,SO2
2155,OZONE,SO2,NO2
2156,NH3,SO2,SO2
2157,NH3,NH3,SO2
2158,PM2.5,PM2.5,PM2.5
2159,SO2,SO2,NO2
2160,SO2,SO2,NO2
2161,OZONE,SO2,NO2
2162,PM2.5,PM2.5,PM2.5
2163,PM10,SO2,SO2
2164,CO,SO2,SO2
2165,OZONE,SO2,SO2
2166,NO2,NH3,SO2
2167,NO2,PM2.5,PM2.5
2168,SO2,SO2,NO2
2169,CO,PM10,PM10
2170,OZONE,NH3,SO2
2171,NO2,NO2,NO2
2172,SO2,NH3,SO2
2173,CO,NO2,NO2
2174,OZONE,NH3,SO2
2175,NO2,NH3,SO2
2176,PM10,NH3,SO2
2177,PM2.5,OZONE,OZONE
2178,PM10,CO,CO
2179,NO2,NH3,SO2
2180,PM10,SO2,NO2
2181,NO2,SO2,NO2
2182,CO,PM10,PM10
2183,NH3,NH3,SO2
2184,PM2.5,NO2,NO2
2185,PM10,NO2,NO2
2186,NO2,NH3,NO2
2187,CO,NO2,NO2
2188,PM10,CO,CO
2189,NO2,NH3,SO2
2190,OZONE,NH3,SO2
2191,OZONE,OZONE,NO2
2192,NO2,NH3,SO2
2193,NO2,NO2,NO2
2194,OZONE,NH3,SO2
2195,PM2.5,OZONE,OZONE
2196,NH3,NH3,SO2
2197,SO2,NH3,SO2
2198,NH3,NH3,SO2
2199,SO2,NH3,SO2
2200,PM10,CO,CO
2201,PM10,NO2,NO2
2202,PM2.5,OZONE,OZONE
2203,NO2,SO2,SO2
2204,NO2,NO2,NO2
2205,NH3,SO2,SO2
2206,SO2,NO2,NO2
2207,PM2.5,SO2,NO2
2208,NH3,SO2,SO2
2209,SO2,SO2,SO2
2210,CO,NO2,NO2
2211,OZONE,SO2,NO2
2212,NH3,SO2,SO2
2213,OZONE,SO2,NO2
2214,PM2.5,NH3,SO2
2215,OZONE,OZONE,OZONE
2216,CO,NO2,NO2
2217,NO2,NH3,SO2
2218,NH3,NH3,SO2
2219,PM10,OZONE,OZONE
2220,SO2,SO2,NO2
2221,NO2,CO,CO
2222,CO,OZONE,OZONE
2223,NH3,NH3,SO2
2224,CO,NH3,SO2
2225,PM10,PM2.5,PM2.5
2226,NO2,NH3,SO2
2227,NH3,NH3,SO2
2228,PM10,PM10,PM10
2229,CO,CO,NO2
2230,OZONE,NO2,NO2
2231,PM10,PM2.5,PM2.5
2232,CO,OZONE,OZONE
2233,OZONE,OZONE,OZONE
2234,PM10,PM10,PM10
2235,NO2,CO,CO
2236,NH3,NH3,SO2
2237,CO,OZONE,OZONE
2238,NO2,NH3,SO2
2239,CO,PM2.5,PM2.5
2240,NH3,NH3,SO2
2241,PM2.5,PM10,PM10
2242,PM10,CO,CO
2243,NH3,NH3,SO2
2244,SO2,SO2,NO2
2245,PM2.5,PM2.5,PM2.5
2246,OZONE,PM10,PM10
2247,PM2.5,PM2.5,PM2.5
2248,NH3,NH3,SO2
2249,SO2,SO2,SO2
2250,SO2,CO,CO
2251,PM10,PM10,PM10
2252,NO2,NO2,NO2
2253,SO2,SO2,SO2
2254,SO2,SO2,SO2
2255,NO2,OZONE,OZONE
2256,SO2,CO,CO
2257,CO,CO,CO
2258,PM2.5,NH3,SO2
2259,PM10,NH3,SO2
2260,CO,PM10,PM10
2261,PM2.5,PM2.5,PM2.5
2262,SO2,NO2,NO2
2263,PM2.5,PM2.5,PM2.5
2264,PM10,PM10,PM10
2265,OZONE,OZONE,OZONE
2266,CO,CO,CO
2267,PM2.5,PM10,PM10
2268,NH3,NH3,SO2
2269,CO,OZONE,OZONE
2270,PM10,PM2.5,PM2.5
2271,CO,CO,CO
2272,PM2.5,NH3,SO2
2273,NO2,NH3,SO2
2274,PM10,PM10,PM10
2275,NH3,NH3,SO2
2276,PM2.5,PM10,PM10
2277,NH3,NH3,SO2
2278,PM10,PM10,PM10
2279,NO2,PM10,PM10
2280,CO,OZONE,NO2
2281,OZONE,OZONE,OZONE
2282,NO2,NO2,NO2
2283,PM10,PM10,PM10
2284,SO2,SO2,SO2
2285,OZONE,OZONE,OZONE
2286,NO2,PM10,PM10
2287,PM10,CO,CO
2288,PM2.5,PM10,PM10
2289,CO,NO2,NO2
2290,PM2.5,PM2.5,PM2.5
2291,SO2,OZONE,OZONE
2292,OZONE,OZONE,OZONE
2293,NO2,CO,CO
2294,CO,PM10,PM10
2295,PM2.5,PM2.5,PM2.5
2296,PM2.5,PM10,PM10
2297,NO2,NO2,NO2
2298,NH3,SO2,SO2
2299,SO2,SO2,SO2
2300,CO,PM10,PM10
2301,OZONE,OZONE,OZONE
2302,CO,CO,CO
2303,PM10,PM10,PM10
2304,SO2,SO2,SO2
2305,CO,SO2,NO2
2306,PM2.5,PM2.5,PM2.5
2307,PM10,PM10,PM10
2308,SO2,SO2,SO2
2309,NO2,PM2.5,PM2.5
2310,SO2,SO2,SO2
2311,PM2.5,PM2.5,PM2.5
2312,OZONE,OZONE,OZONE
2313,PM10,PM2.5,PM2.5
2314,NO2,NO2,NO2
2315,NH3,SO2,SO2
2316,PM2.5,PM2.5,PM2.5
2317,NH3,NH3,SO2
2318,PM2.5,PM2.5,PM2.5
2319,NO2,CO,NO2
2320,OZONE,OZONE,OZONE
2321,PM2.5,PM2.5,PM2.5
2322,NO2,PM10,PM10
2323,NH3,SO2,SO2
2324,NO2,NO2,NO2
2325,SO2,SO2,SO2
2326,NH3,SO2,SO2
2327,SO2,OZONE,SO2
2328,PM10,PM10,PM10
2329,NH3,NH3,SO2
2330,PM2.5,CO,CO
2331,NH3,NH3,SO2
2332,OZONE,OZONE,OZONE
2333,PM10,PM10,PM10
2334,OZONE,OZONE,OZONE
2335,PM10,PM10,PM10
2336,NH3,NH3,SO2
2337,PM10,PM10,PM10
2338,SO2,SO2,NO2
2339,PM10,PM10,PM10
2340,NO2,NH3,SO2
2341,PM2.5,PM2.5,PM2.5
2342,PM10,PM2.5,PM2.5
2343,OZONE,NO2,NO2
2344,NH3,NH3,SO2
2345,CO,OZONE,CO
2346,PM10,PM2.5,PM2.5
2347,NH3,NH3,SO2
2348,CO,NO2,NO2
2349,PM2.5,PM10,PM10
2350,PM10,PM10,PM10
2351,CO,CO,CO
2352,PM10,PM2.5,PM2.5
2353,CO,OZONE,CO
2354,SO2,SO2,SO2
2355,SO2,SO2,SO2
2356,CO,OZONE,OZONE
2357,PM2.5,PM2.5,PM2.5
2358,CO,OZONE,OZONE
2359,NO2,SO2,SO2
2360,CO,NO2,NO2
2361,PM2.5,PM2.5,PM2.5
2362,CO,CO,NO2
2363,CO,OZONE,CO
2364,OZONE,OZONE,OZONE
2365,PM10,PM2.5,PM2.5
2366,OZONE,OZONE,OZONE
2367,PM2.5,PM10,PM10
2368,OZONE,OZONE,OZONE
2369,PM2.5,PM10,PM10
2370,NO2,PM10,PM10
2371,CO,NO2,NO2
2372,NH3,SO2,SO2
2373,PM10,PM10,PM10
2374,CO,OZONE,OZONE
2375,OZONE,OZONE,OZONE
2376,PM10,PM10,PM10
2377,PM2.5,PM10,PM10
2378,PM2.5,SO2,SO2
2379,NH3,SO2,SO2
2380,NO2,SO2,SO2
2381,CO,NH3,SO2
2382,PM2.5,PM10,PM10
2383,PM10,NO2,NO2
2384,SO2,NO2,NO2
2385,CO,CO,CO
2386,PM2.5,PM2.5,PM2.5
2387,NH3,NH3,SO2
2388,NO2,SO2,NO2
2389,OZONE,OZONE,OZONE
2390,NO2,NO2,NO2
2391,PM2.5,PM2.5,PM2.5
2392,NO2,NH3,SO2
2393,SO2,SO2,NO2
2394,OZONE,OZONE,OZONE
2395,PM10,PM2.5,PM2.5
2396,SO2,NH3,SO2
2397,SO2,SO2,SO2
2398,OZONE,SO2,NO2
2399,PM10,CO,CO
2400,NH3,NH3,SO2
2401,OZONE,NH3,SO2
2402,CO,SO2,SO2
2403,NH3,SO2,SO2
2404,CO,CO,CO
2405,PM2.5,PM10,PM10
2406,NH3,SO2,SO2
