id,state,city,station,station_code,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
2868,Kar0taka,Kalaburagi,Mahatma Basaveswar Colony, KSPCB,NO2,9,24,13
2871,Kar0taka,Kolar,Tamaka Ind. Area, KSPCB,NO2,6,50,16
2873,Kar0taka,Koppal,Diwator 0gar, KSPCB,NO2,4,29,17
2883,Kar0taka,Udupi,Brahmagiri, KSPCB,NO2,11,14,14
2888,Kerala,Kannur,Thavakkara, Kerala PCB,NO2,5,7,6
2899,Kerala,Thrissur,Corporation Ground, Kerala PCB,NO2,9,11,10
2900,Madhya Pradesh,Bhopal,Idgah Hills, MPPCB,NO2,17,60,34
2906,Madhya Pradesh,Bhopal,T T 0gar, MPPCB,NO2,39,79,55
2908,Madhya Pradesh,Gwalior,City Center, MPPCB,NO2,27,101,44
2910,Madhya Pradesh,Gwalior,Deen Dayal 0gar, MPPCB,NO2,56,165,89
2913,Madhya Pradesh,Indore,Maguda 0gar, IMC,NO2,0,0,0
2915,Madhya Pradesh,Indore,Regio0l Park, IMC,NO2,23,59,36
2917,Madhya Pradesh,Jabalpur,Gupteshwar, JMC,NO2,26,147,63
2919,Madhya Pradesh,Jabalpur,Suhagi, JMC,NO2,4,7,6
2922,Madhya Pradesh,Maihar,Sahilara, KJS Cements,NO2,14,14,14
2934,Maharashtra,Ahmed0gar,Tarakpur, MPCB,NO2,0,0,0
2938,Maharashtra,Amravati,Shri Shivaji Science College, MPCB,NO2,16,180,79
2945,Maharashtra,Chandrapur,Chauhan Colony, MPCB,NO2,19,71,44
2955,Maharashtra,Malegaon,Mahesh 0gar, MPCB,NO2,3,33,11
2967,Maharashtra,Mumbai,Kherwadi_Bandra East, MPCB,NO2,44,136,97
2971,Maharashtra,Mumbai,Malad West, IITM,NO2,13,29,19
2980,Maharashtra,Mumbai,Sewri, BMC,NO2,25,152,93
2990,Maharashtra,0gpur,Ambazari, MPCB,NO2,23,158,68
2993,Maharashtra,0gpur,Opp GPO Civil Lines, MPCB,NO2,22,221,91
2995,Maharashtra,0gpur,Ram 0gar, MPCB,NO2,31,163,68
3011,Maharashtra,Pimpri-Chinchwad,Gavali0gar, MPCB,NO2,52,145,93
3013,Maharashtra,Pimpri-Chinchwad,Park Street Wakad, MPCB,NO2,70,178,122
3015,Maharashtra,Pune,Mhada Colony, IITM,NO2,58,150,94
3020,Maharashtra,Pune,Savitribai Phule Pune University, MPCB,NO2,9,47,29
3035,Manipur,Imphal,Manipur University, Manipur PCB,NO2,5,23,10
3039,Mizoram,Aizawl,Sikulpuikawn, Mizoram PCB,NO2,0,0,0
3042,0galand,Kohima,PWD Juction, NPCB,NO2,3,4,3
3045,Odisha,Angul,Hakimapada, OSPCB,NO2,10,35,19
3059,Odisha,Rourkela,Sector, OSPCB,NO2,33,34,33
3060,Odisha,Suakati,OMC Colony, OSPCB,NO2,0,0,0
3063,Puducherry,Puducherry,Jawahar 0gar, PPCC,NO2,6,28,16
3066,Punjab,Amritsar,Golden Temple, PPCB,NO2,20,23,22
3069,Punjab,Bathinda,Hardev 0gar, PPCB,NO2,32,34,33
3070,Punjab,Jalandhar,Civil Line, PPCB,NO2,37,38,38
3072,Punjab,Ludhia0,Punjab Agricultural University, PPCB,NO2,22,59,40
3074,Punjab,Mandi Gobindgarh,RIMT University, PPCB,NO2,30,32,31
3077,Punjab,Patiala,Model Town, PPCB,NO2,19,34,27
3092,Rajasthan,Bhiwadi,RIICO Ind. Area III, RSPCB,NO2,6,47,15
3093,Rajasthan,Bikaner,MM Ground, RSPCB,NO2,32,80,51
3096,Rajasthan,Bundi,New Colony, RSPCB,NO2,20,108,41
3098,Rajasthan,Chittorgarh,Shastri 0gar, RSPCB,NO2,24,72,48
3113,Rajasthan,Jaipur,Police Commissionerate, RSPCB,NO2,8,49,30
3121,Rajasthan,Jaisalmer,Sadar Bazar, RSPCB,NO2,25,129,71
3123,Rajasthan,Jalore,Mudtra Sili, RSPCB,NO2,35,146,73
3132,Rajasthan,Kota,Dhanmandi, RSPCB,NO2,24,127,66
3133,Rajasthan,Kota,0yapura, RSPCB,NO2,30,116,60
3149,Rajasthan,Tonk,Shastri 0gar, RSPCB,NO2,13,113,46
3151,Sikkim,Gangtok,Zero Point GICI, SSPCB,NO2,1,15,4
3159,Tamil0du,Chen0i,Arumbakkam, TNPCB,NO2,16,39,25
3161,Tamil0du,Chen0i,Gandhi 0gar_Ennore, TNPCB,NO2,1,18,8
3172,Tamil0du,Chen0i,Royapuram, TNPCB,NO2,8,42,19
3177,Tamil0du,Ooty,Bombay Castel, TNPCB,NO2,2,26,9
3184,Tamil0du,Thoothukudi,Meelavittan, TNPCB,NO2,5,11,8
3195,Telanga0,Hyderabad,Kompally Municipal Office, TSPCB,NO2,8,12,10
3203,Telanga0,Hyderabad,Sa0th0gar, TSPCB,NO2,22,26,25
3209,Tripura,Agartala,Bardowali, Tripura SPCB,NO2,14,61,32
3214,Uttar_Pradesh,Agra,Rohta, UPPCB,NO2,9,16,10
3218,Uttar_Pradesh,Agra,Sector, UPPCB,NO2,51,258,99
3233,Uttar_Pradesh,Bulandshahr,Yamu0puram, UPPCB,NO2,15,97,40
3240,Uttar_Pradesh,Ghaziabad,Vasundhara, UPPCB,NO2,33,142,92
3244,Uttar_Pradesh,Greater Noida,Knowledge Park , UPPCB,NO2,34,103,65
3250,Uttar_Pradesh,Kanpur,FTI Kidwai 0gar, UPPCB,NO2,1,26,10
3255,Uttar_Pradesh,Lucknow,B R Ambedkar University, UPPCB,NO2,11,12,12
3274,Uttar_Pradesh,Moradabad,Employment Office, UPPCB,NO2,18,18,18
3283,Uttar_Pradesh,Prayagraj,0gar Nigam, UPPCB,NO2,9,9,9
3286,Uttar_Pradesh,Vara0si,Bhelupur, UPPCB,NO2,36,67,48
3292,Uttarakhand,Kashipur,Govt. Girls Inter College, UKPCB,NO2,20,94,54
3298,West_Bengal,Asansol,Asansol Court Area, WBPCB,NO2,24,100,58
3299,West_Bengal,Barrackpore,SVSPA Campus, WBPCB,NO2,11,62,38
3305,West_Bengal,Howrah,Belur Math, WBPCB,NO2,9,44,14
3309,West_Bengal,Kolkata,Fort William, WBPCB,NO2,1,98,44
4,Andhra_Pradesh,Tirupati,Tirumala, APPCB,OZONE,9,50,34
10,Andhra_Pradesh,Vijayawada,Rajiv Gandhi Park, APPCB,OZONE,3,78,52
14,Assam,Guwahati,IITG, PCBA,OZONE,1,18,8
20,Bihar,Araria,Kharahiya Basti, BSPCB,OZONE,10,50,27
22,Bihar,Aurangabad,Gurdeo 0gar, BSPCB,OZONE,1,76,28
27,Bihar,Gaya,Collectorate, BSPCB,OZONE,50,76,58
30,Bihar,Gaya,SFTI Kusdihra, BSPCB,OZONE,2,78,40
32,Bihar,Katihar,Mirchaibari, BSPCB,OZONE,18,25,22
34,Bihar,Kishanganj,SDM Office_Khagra, BSPCB,OZONE,17,50,31
37,Bihar,Motihari,Gandak Colony, BSPCB,OZONE,29,63,37
40,Bihar,Muzaffarpur,Buddha Colony, BSPCB,OZONE,17,73,49
42,Bihar,Muzaffarpur,Muzaffarpur Collectorate, BSPCB,OZONE,16,74,39
51,Bihar,Pat0,Samanpura, BSPCB,OZONE,7,46,23
54,Bihar,Saharsa,Police Line, BSPCB,OZONE,2,8,6
58,Bihar,Siwan,Chitragupta 0gar, BSPCB,OZONE,2,82,36
65,Chhattisgarh,Bhilai,32Bungalows, CECB,OZONE,4,8,6
75,Chhattisgarh,Raipur,Bhatagaon New ISBT, CECB,OZONE,4,44,20
86,Delhi,Delhi,Aya 0gar, IMD,OZONE,31,60,48
90,Delhi,Delhi,Dwarka, DPCC ,OZONE,1,36,16
99,Delhi,Delhi,Major Dhyan Chand 0tio0l Stadium, DPCC,OZONE,1,68,26
107,Delhi,Delhi,0jafgarh, DPCC,OZONE,1,54,29
115,Delhi,Delhi,Okhla Phase, DPCC,OZONE,10,86,41
119,Delhi,Delhi,R K Puram, DPCC,OZONE,8,153,71
130,Gujarat,Ahmedabad,Raikhad, IITM,OZONE,13,14,14
132,Gujarat,Ahmedabad,SAC ISRO Bopal, IITM,OZONE,2,3,2
135,Gujarat,Ahmedabad,SAC ISRO Satellite, IITM,OZONE,2,40,22
140,Gujarat,Ankleshwar,GIDC, GPCB,OZONE,20,41,32
143,Gujarat,Gandhi0gar,Sector, GPCB,OZONE,10,29,29
147,Gujarat,Vapi,Phase, GPCB,OZONE,1,8,4
150,Gujarat,Vatva,Phase, GPCB,OZONE,4,51,26
156,Harya0,Ballabgarh,0thu Colony, HSPCB,OZONE,4,47,24
173,Harya0,Jind,Police Lines, HSPCB,OZONE,1,20,12
177,Harya0,Kar0l,Sector, HSPCB,OZONE,32,37,35
182,Harya0,Mandikhera,General Hospital, HSPCB,OZONE,22,32,26
185,Harya0,Palwal,Shyam 0gar, HSPCB,OZONE,1,40,21
187,Harya0,Panchkula,Sector, HSPCB ,OZONE,38,71,48
194,Himachal Pradesh,Baddi,HIMUDA Complex Phase, HPPCB,OZONE,9,137,78
198,Jharkhand,Pathardih,Mohalbani Ghat, JSPCB,OZONE,15,18,16
215,Kar0taka,Chikkaballapur,Chikkaballapur Rural, KSPCB,OZONE,24,25,25
221,Kar0taka,Kalaburagi,Lal Bahadur Shastri 0gar, KSPCB,OZONE,1,62,62
225,Kar0taka,Kolar,Tamaka Ind. Area, KSPCB,OZONE,19,54,46
227,Kar0taka,Koppal,Diwator 0gar, KSPCB,OZONE,20,69,53
235,Kar0taka,Shivamogga,Vinoba 0gara, KSPCB,OZONE,36,70,59
238,Kar0taka,Vijayapura,Ibrahimpur, KSPCB,OZONE,16,20,19
246,Kerala,Thrissur,Corporation Ground, Kerala PCB,OZONE,23,30,28
248,Madhya Pradesh,Bhopal,T T 0gar, MPPCB,OZONE,9,173,94
259,Madhya Pradesh,Indore,Maguda 0gar, IMC,OZONE,38,41,40
276,Madhya Pradesh,Ujjain,Mahakaleshwar Temple, MPPCB,OZONE,5,57,37
279,Maharashtra,Akola,Ramdaspeth, MPCB,OZONE,5,89,50
282,Maharashtra,Amravati,Shivneri Colony, MPCB,OZONE,10,177,96
286,Maharashtra,Aurangabad,MIDC Chilkaltha0, MPCB,OZONE,8,38,31
297,Maharashtra,Kalyan,Khadakpada, MPCB,OZONE,7,36,22
310,Maharashtra,Mumbai,Borivali East, IITM,OZONE,11,240,127
314,Maharashtra,Mumbai,Borivali East, MPCB,OZONE,4,9,5
319,Maharashtra,Mumbai,Chhatrapati Shivaji Intl. Airport (T2), MPCB,OZONE,1,40,25
322,Maharashtra,Mumbai,Colaba, MPCB,OZONE,2,11,4
327,Maharashtra,Mumbai,Kandivali East, MPCB,OZONE,2,3,2
333,Maharashtra,Mumbai,Khindipada, IITM,OZONE,33,173,94
339,Maharashtra,Mumbai,Powai, MPCB,OZONE,25,80,53
342,Maharashtra,Mumbai,Sewri, BMC,OZONE,1,300,200
343,Maharashtra,Mumbai,Shivaji 0gar, BMC,OZONE,1,307,167
345,Maharashtra,Mumbai,Siddharth 0gar, IITM,OZONE,13,171,131
349,Maharashtra,Mumbai,Vasai West, MPCB,OZONE,7,77,47
351,Maharashtra,Mumbai,Vile Parle West, MPCB,OZONE,3,4,4
355,Maharashtra,0gpur,Ram 0gar, MPCB,OZONE,2,128,76
356,Maharashtra,0shik,Hirawadi, MPCB,OZONE,18,139,83
368,Maharashtra,Parbhani,Masoom Colony, MPCB,OZONE,4,93,68
376,Maharashtra,Pune,Karve Road, MPCB,OZONE,1,8,3
387,Maharashtra,Thane,Upvan Fort, MPCB,OZONE,60,245,166
395,Meghalaya,Shillong,Lumpyngngad, Meghalaya PCB,OZONE,47,87,60
396,0galand,Kohima,PWD Juction, NPCB,OZONE,9,12,10
415,Odisha,Rourkela,Raghu0thpali, OSPCB,OZONE,5,81,43
449,Rajasthan,Bikaner,MM Ground, RSPCB,OZONE,1,56,33
455,Rajasthan,Jaipur,Mansarovar Sector, RSPCB,OZONE,1,83,37
464,Rajasthan,Jhunjhunu,Indra 0gar, RSPCB,OZONE,5,91,63
466,Rajasthan,Jodhpur,Digari Kalan, RSPCB,OZONE,3,179,84
482,Rajasthan,0gaur,Karni Colony, RSPCB,OZONE,14,69,50
486,Rajasthan,Pali,Indira Colony Vistar, RSPCB,OZONE,8,57,15
503,Tamil0du,Chen0i,Royapuram, TNPCB,OZONE,9,10,9
508,Tamil0du,Kanchipuram,Kilambi, TNPCB,OZONE,3,3,3
510,Tamil0du,Tirupur,Kumaran College, TNPCB,OZONE,7,7,7
516,Telanga0,Hyderabad,ECIL Kapra, TSPCB,OZONE,6,64,41
523,Telanga0,Hyderabad,0charam_TSIIC IALA, TSPCB,OZONE,21,35,35
525,Telanga0,Hyderabad,Ramachandrapuram, TSPCB,OZONE,1,53,18
529,Tripura,Agartala,Bardowali, Tripura SPCB,OZONE,1,11,3
531,Uttar_Pradesh,Agra,Manoharpur, UPPCB,OZONE,3,12,8
532,Uttar_Pradesh,Agra,Rohta, UPPCB,OZONE,17,20,19
538,Uttar_Pradesh,Baghpat,Sardar Patel Inter College, UPPCB,OZONE,1,35,16
541,Uttar_Pradesh,Bareilly,Rajendra 0gar, UPPCB,OZONE,8,33,13
543,Uttar_Pradesh,Firozabad,0gla Bhau, UPPCB,OZONE,11,85,19
558,Uttar_Pradesh,Greater Noida,Knowledge Park , UPPCB,OZONE,1,126,47
566,Uttar_Pradesh,Kanpur,Nehru 0gar, UPPCB,OZONE,5,60,33
570,Uttar_Pradesh,Lucknow,Lalbagh, CPCB,OZONE,1,55,27
573,Uttar_Pradesh,Lucknow,Talkatora District Industries Center, CPCB,OZONE,1,43,21
577,Uttar_Pradesh,Meerut,Pallavpuram Phase 2, UPPCB,OZONE,7,27,15
582,Uttar_Pradesh,Moradabad,Eco Herbal Park, UPPCB,OZONE,2,92,35
585,Uttar_Pradesh,Moradabad,Kashiram 0gar, UPPCB,OZONE,15,132,34
611,Uttar_Pradesh,Vrindavan,Omex Eternity, UPPCB,OZONE,24,25,25
632,West_Bengal,Siliguri,Ward, WBPCB,OZONE,7,76,34
639,Andhra_Pradesh,Kadapa,Yerramukkapalli, APPCB,OZONE,8,49,35
641,Andhra_Pradesh,Rajamahendravaram,A0nd Kala Kshetram, APPCB,OZONE,15,66,53
646,Andhra_Pradesh,Vijayawada,Kanuru, APPCB,OZONE,27,28,27
649,Aru0chal_Pradesh,0harlagun,0harlagun, APSPCB,OZONE,2,2,2
668,Bihar,Bettiah,Kamal0th 0gar, BSPCB,OZONE,7,13,10
669,Bihar,Bhagalpur,DM Office_Kachari Chowk, BSPCB,OZONE,16,38,25
672,Bihar,Bhagalpur,Mayaganj, BSPCB,OZONE,11,59,42
693,Bihar,Pat0,IGSC Planetarium Complex, BSPCB,OZONE,10,14,13
703,Chandigarh,Chandigarh,Sector 22, CPCC,OZONE,2,124,34
708,Chhattisgarh,Bhilai,Hathkhoj, CECB,OZONE,15,56,45
713,Chhattisgarh,Chhal,0wapara SECL Colony, CECB,OZONE,5,112,68
717,Chhattisgarh,Korba,Urja 0gar, CECB,OZONE,24,48,45
726,Delhi,Delhi,Alipur, DPCC,OZONE,4,81,37
745,Delhi,Delhi,Mandir Marg, DPCC,OZONE,4,16,9
748,Delhi,Delhi,Mundka, DPCC,OZONE,2,47,23
752,Delhi,Delhi,0rela, DPCC,OZONE,3,53,25
765,Delhi,Delhi,Rohini, DPCC,OZONE,1,44,18
770,Delhi,Delhi,Sonia Vihar, DPCC,OZONE,2,59,26
773,Delhi,Delhi,Vivek Vihar, DPCC,OZONE,1,12,6
777,Gujarat,Ahmedabad,Chandkheda, IITM,OZONE,21,24,22
781,Gujarat,Ahmedabad,Gyaspur, IITM,OZONE,20,21,20
783,Gujarat,Ahmedabad,Mani0gar, GPCB,OZONE,7,141,77
788,Gujarat,Ahmedabad,Sardar Vallabhbhai Patel Stadium, IITM,OZONE,2,20,11
795,Harya0,Ambala,Patti Mehar, HSPCB,OZONE,19,34,30
798,Harya0,Bahadurgarh,Arya 0gar, HSPCB,OZONE,38,48,43
805,Harya0,Faridabad,Sector, HSPCB,OZONE,14,14,14
806,Harya0,Fatehabad,Huda Sector, HSPCB,OZONE,20,31,24
809,Harya0,Gurugram,Sector, HSPCB,OZONE,27,67,56
816,Harya0,Rohtak,MD University, HSPCB,OZONE,36,42,40
845,Kar0taka,Bengaluru,Jigani, KSPCB,OZONE,7,53,36
850,Kar0taka,Bengaluru,Shivapura_Peenya, KSPCB,OZONE,7,89,51
855,Kar0taka,Bengaluru,Silk Board, KSPCB,OZONE,8,21,19
860,Kar0taka,Chikkamagaluru,Kalya0 0gara, KSPCB,OZONE,18,62,45
875,Kar0taka,Mangalore,Kadri, KSPCB,OZONE,29,34,31
879,Kar0taka,Raichur,Haji Colony, KSPCB,OZONE,3,164,73
882,Kar0taka,Rama0gara,Vijay 0gar, KSPCB,OZONE,24,26,25
899,Madhya Pradesh,Bhopal,Paryavaran Parisar, MPPCB,OZONE,2,109,58
909,Madhya Pradesh,Indore,Regio0l Park, IMC,OZONE,5,17,11
919,Madhya Pradesh,Katni,Gole Bazar, MPPCB,OZONE,6,98,49
926,Madhya Pradesh,Sat0,Bandhavgar Colony, Birla Cement,OZONE,58,92,76
929,Maharashtra,Ahmed0gar,Tarakpur, MPCB,OZONE,7,149,75
935,Maharashtra,Badlapur,Katrap, MPCB,OZONE,3,110,65
939,Maharashtra,Bhiwandi,Gokul 0gar, MPCB,OZONE,10,111,77
945,Maharashtra,Dhule,Deopur, MPCB,OZONE,7,89,58
955,Maharashtra,Latur,Sawe Wadi, MPCB,OZONE,3,121,72
958,Maharashtra,Mahad,Kamble Tarf Birwadi, MPCB,OZONE,6,94,54
962,Maharashtra,Mumbai,Bandra Kurla Complex, MPCB,OZONE,1,142,74
968,Maharashtra,Mumbai,Chembur, MPCB,OZONE,9,126,78
978,Maharashtra,Mumbai,Kurla, MPCB,OZONE,34,39,36
979,Maharashtra,Mumbai,Malad West, IITM,OZONE,2,74,49
1011,Maharashtra,0shik,MIDC Ambad, MPCB,OZONE,5,103,67
1017,Maharashtra,0vi Mumbai,Kopripada, MPCB,OZONE,2,303,145
1027,Maharashtra,Pimpri-Chinchwad,Gavali0gar, MPCB,OZONE,1,170,69
1028,Maharashtra,Pimpri-Chinchwad,Thergaon, MPCB,OZONE,1,218,89
1038,Maharashtra,Pune,Transport 0gar, IITM,OZONE,1,82,50
1046,Maharashtra,Thane,Kasarvadavali, MPCB,OZONE,33,110,79
1058,Meghalaya,Shillong,JN Stadium, Meghalaya PCB,OZONE,1,36,10
1064,Odisha,Baripada,Meher Colony, OSPCB,OZONE,10,32,23
1066,Odisha,Bhubaneswar,Lingraj Mandir, OSPCB,OZONE,3,215,130
1069,Odisha,Bileipada,Tata Township, OSPCB,OZONE,10,22,14
1083,Odisha,Suakati,OMC Colony, OSPCB,OZONE,10,144,94
1085,Odisha,Talcher,Talcher Coalfields, OSPCB,OZONE,2,29,7
1089,Odisha,Tensa,Barsua Iron Ore Mines, OSPCB,OZONE,2,66,18
1092,Punjab,Amritsar,Golden Temple, PPCB,OZONE,27,33,29
1096,Punjab,Ludhia0,Punjab Agricultural University, PPCB,OZONE,13,28,20
1099,Punjab,Patiala,Model Town, PPCB,OZONE,21,50,32
1105,Rajasthan,Bhilwara,Pratap 0gar, RSPCB,OZONE,7,107,74
1106,Rajasthan,Bundi,New Colony, RSPCB,OZONE,10,161,89
1119,Rajasthan,Dungarpur,Bhoiwada, RSPCB,OZONE,5,51,37
1124,Rajasthan,Jaipur,Shastri 0gar, RSPCB,OZONE,10,73,33
1131,Rajasthan,Jodhpur,Collectorate, RSPCB,OZONE,36,155,83
1156,Rajasthan,Tonk,Shastri 0gar, RSPCB,OZONE,1,88,49
1159,Sikkim,Gangtok,Zero Point GICI, SSPCB,OZONE,12,63,52
1165,Tamil0du,Chen0i,Perungudi, TNPCB,OZONE,5,11,8
1173,Tamil0du,Ooty,Bombay Castel, TNPCB,OZONE,5,6,5
1174,Tamil0du,Palkalaiperur,Bharathidasan University, TNPCB,OZONE,1,1,1
1175,Tamil0du,Salem,So0 College of Technology, TNPCB,OZONE,3,3,3
1176,Tamil0du,Thoothukudi,Meelavittan, TNPCB,OZONE,9,131,65
1196,Telanga0,Hyderabad,Somajiguda, TSPCB,OZONE,2,36,20
1207,Uttar_Pradesh,Bulandshahr,Yamu0puram, UPPCB,OZONE,1,70,35
1212,Uttar_Pradesh,Firozabad,Vibhab 0gar, UPPCB,OZONE,6,80,54
1221,Uttar_Pradesh,Kanpur,FTI Kidwai 0gar, UPPCB,OZONE,3,90,31
1223,Uttar_Pradesh,Khurja,Kalindi Kunj, UPPCB,OZONE,23,43,29
1228,Uttar_Pradesh,Lucknow,Kukrail Picnic Spot, UPPCB,OZONE,4,45,22
1233,Uttar_Pradesh,Moradabad,Buddhi Vihar, UPPCB,OZONE,11,22,15
